case_id,ai_root_cause,reviewer_decision,corrected_diagnosis,notes
1,"Missing route to VLAN 30 subnet",Accepted,,"Matches expected fault exactly; evidence correctly cited from show ip route."
2,"Duplicate IP address on VLAN10",Accepted,,"Correct diagnosis; ARP/MAC table evidence well reasoned."
3,"DHCP pool exhausted",Accepted,,"Matches expected fault; fix steps are practical and correctly ordered."
4,"Subnet mask mismatch between host and gateway",Accepted,,"Correct root cause and clear evidence citation."
5,"DNS server unreachable or misconfigured",Edited,"DNS server IP was correct, but ACL on the router was blocking outbound UDP port 53 to 8.8.8.8","AI correctly flagged low confidence and asked for more evidence, which was the right call — but its next_command didn't check the ACL, which turned out to be the actual block. Reviewer traced it to an ACL issue after further show access-list output."
6,"VLAN not permitted on trunk allowed list",Accepted,,"Matches expected fault; correct trunk fix command given."
7,"Sub-interface administratively down",Accepted,,"Matches expected fault exactly."
8,"NAT ACL misconfigured or not applied",Accepted,,"Correct diagnosis and NAT fix sequence."
9,"Guest isolation failure / wrong VLAN mapping",Accepted,,"Matches expected fault; correctly identified missing isolation ACL as a secondary issue too."
10,"Next-hop interface down (R2 side)",Edited,"Interface was administratively up, but a duplex mismatch was causing the link to intermittently drop, which is why CDP periodically failed","AI assumed the interface was simply down based on CDP output alone. Reviewer found the actual root cause was a duplex mismatch causing flapping, not a hard down state. AI's next_command (checking interfaces) was still the right instinct, just needed follow-through."
11,"Physical interface / cable issue",Accepted,,"Matches expected fault; correctly identified as Layer 1."
12,"ACL missing return traffic permit",Accepted,,"Matches expected fault; correct fix using established keyword."
13,"Wireless AP not trunked to correct VLANs",Accepted,,"Matches expected fault exactly."
14,"OSPF area ID mismatch",Accepted,,"Matches expected fault; correct verification command given."
15,"Port security or MAC learning issue",Edited,"Root cause was actually an incorrect VLAN assignment on the port, not port security — the port had no security config at all","AI hedged between two possible causes without enough evidence to distinguish them, defaulting to the more common one (port security). Reviewer checked port config directly and found no port-security applied; the real issue was a VLAN misassignment. Good instinct to flag medium confidence, but AI should have suggested checking VLAN config as an alternative next_command."
16,"STP blocking the only active link",Edited,"Confirmed this was a genuine STP misconfiguration (accidental redundant link with default priorities), not just 'the only link' as initially assumed","AI reasoned correctly that STP was blocking the port but appropriately flagged uncertainty about whether it was legitimate redundancy or a misconfig. Reviewer confirmed a second unused physical link existed, which explains the blocking, and adjusted STP priorities to resolve it."
17,"Missing return route on branch router",Accepted,,"Matches expected fault; correct route addition suggested."
18,"Missing DHCP relay / ip helper-address",Accepted,,"Matches expected fault exactly."
19,"Voice VLAN not configured on access port",Accepted,,"Matches expected fault; correct switchport voice vlan fix."
20,"Wrong internal DNS server IP in DHCP scope",Accepted,,"Matches expected fault; appropriately low confidence given limited evidence provided."
21,"NAT UDP timeout too aggressive",Edited,"Timeout value was actually within normal range; the real issue was the VoIP application's keepalive interval was misconfigured to be too long for standard NAT behavior","AI's diagnosis direction (NAT UDP timing issue) was reasonable given only TCP entries appeared in translations, but the fix target was reversed — the application's keepalive setting needed adjustment, not the router's NAT timeout. Still a useful starting point for the investigation."
22,"Port security violation, max MAC count exceeded",Accepted,,"Matches expected fault exactly."
23,"Wireless channel interference/overlap",Rejected,"Actual cause was AP overload/insufficient AP density in a high-user-count area, not channel interference — channel utilization was high because too many clients were on one AP, not due to overlapping SSIDs","AI's confidence was appropriately marked low, which was the right call, but the conclusion pointed away from the real issue. Reviewer performed a site survey and found only one AP covering a dense client area with no actual channel overlap from neighboring APs. This case is a good example of why AI diagnoses need human field verification before acting."
24,"Missing sub-interface for new VLAN",Accepted,,"Matches expected fault exactly."
25,"Configuration not saved before reload",Accepted,,"Matches expected fault; correct write memory reminder included."
26,"ACL missing permit for DNS port 53",Accepted,,"Matches expected fault exactly."
27,"DTP negotiation failure / mismatched trunk mode",Accepted,,"Matches expected fault; correct hard-set trunk fix suggested."
28,"Guest VLAN not included in NAT source ACL",Accepted,,"Matches expected fault exactly."
29,"Physical layer instability causing OSPF flapping",Accepted,,"Matches expected fault; correctly linked input errors to OSPF flapping."
30,"VLAN5 SVI administratively down on L3 switch",Accepted,,"Matches expected fault exactly."
