case_id,expected_fault,ai_root_cause,ai_osi_layer,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps
1,"Missing route to VLAN 30 subnet","Missing route to the 10.0.30.0 (VLAN 30) subnet in the routing table — the SVI is up and the trunk to the core is fine, but the local router has no path to advertise/reach that network, so traffic destined for the VLAN 30 server has nowhere to go beyond the default gateway hop.","Layer 3","medium","show ip route output shows no entry for 10.0.30.0, despite topology note confirming VLAN30 SVI is up and trunk to core is intact — this isolates the fault to the routing table rather than L1/L2 or the SVI itself. Confidence is medium rather than high because ACL 101 is also applied inbound and hasn't yet been ruled out as a contributing/secondary block once routing is fixed.","show running-config | section router ospf|eap|bgp (or 'show ip protocols') on the router/L3 switch that should be learning 10.0.30.0, plus 'show ip route 10.0.30.0' and 'show vlan brief' / 'show interfaces trunk' on the core to confirm VLAN 30 is permitted on the trunk and the SVI is participating in routing","Confirm on the core/distribution switch that VLAN 30's SVI (interface vlan 30) is administratively up, has the correct IP, and is not shut down | Verify VLAN 30 is allowed across the trunk link(s) between the access/distribution switch and the core (check 'show interfaces trunk' for allowed VLAN list and native VLAN mismatches) | Check the routing protocol configuration (static route, OSPF, EIGRP, or BGP) on the device that should be learning/advertising 10.0.30.0/24 — add a static route or correct the routing protocol network statement/redistribution so 10.0.30.0/24 appears in 'show ip route' | Once the route is present, re-test connectivity to the VLAN 30 server | Separately review ACL 101 (applied inbound) to confirm it isn't also blocking the traffic once routing is fixed — verify it permits the source PC's subnet and destination server IP/port before closing the ticket"
2,"Duplicate IP address","Duplicate IP address (192.168.10.10) assigned to two hosts on VLAN10, causing the switch to repeatedly relearn the same IP against two different MAC addresses, which manifests as MAC flapping and intermittent connectivity","Layer 3","high","show ip interface brief output shows two hosts both configured with 192.168.10.10","show mac address-table | include vlan10 and show arp on the gateway to identify the two MAC addresses contending for 192.168.10.10","Identify both hosts claiming 192.168.10.10 via the ARP table on the gateway/L3 device | Reassign a unique static IP to one of the conflicting hosts, or move both to DHCP | Clear stale/flapping ARP and MAC address table entries on affected switches | Confirm MAC flapping log messages stop and connectivity is stable"
3,"DHCP pool exhausted","DHCP scope for VLAN20 has run out of available addresses, so new hosts cannot obtain a lease","Layer 3","medium","show ip dhcp binding shows an empty pool and show run | section dhcp confirms the pool is exhausted","show ip dhcp pool <pool-name> to check total addresses, current lease count, and exclusions","Review pool size and leased count with show ip dhcp pool | Expand the DHCP scope or reduce lease time to free addresses faster | Check for and clear stale/abandoned leases with show ip dhcp conflict | Reduce excluded-address ranges if over-reserved | Confirm new hosts obtain a lease after scope expansion"
4,"Subnet mask mismatch between host and gateway","Subnet mask mismatch between the host (255.255.255.0) and gateway (255.255.255.128) on VLAN40, causing the host to miscalculate its local subnet and fail to route traffic beyond the gateway correctly","Layer 3","high","show interfaces output shows the host on Gi0/1 configured with mask 255.255.255.0 while the gateway uses 255.255.255.128","show running-config interface <gateway SVI/port> to confirm the intended/correct subnet size for VLAN40","Determine the correct subnet mask for VLAN40 based on the gateway's configuration | Correct the host's IP configuration (or DHCP scope) to use the matching 255.255.255.128 mask | Update the DHCP server's subnet mask option for VLAN40 if applicable, to prevent recurrence | Retest connectivity beyond the gateway after correcting the mask"
5,"DNS server unreachable or misconfigured","DNS server (8.8.8.8) is unreachable or misconfigured, preventing hostname resolution while IP-based connectivity to it remains functional","Layer 7","low","nslookup fails while ping to 8.8.8.8 succeeds; show run | include dns was referenced but its full content was not provided, so the exact misconfiguration is unconfirmed","Full output of show run | include dns, plus nslookup <hostname> 8.8.8.8 and a test of TCP/UDP port 53 reachability (e.g., telnet 8.8.8.8 53) to confirm whether DNS queries are actually reaching/being answered by the server","Confirm the DNS server IP configured on the host/DHCP scope matches 8.8.8.8 as intended | Test UDP/TCP port 53 reachability specifically, since ICMP success does not confirm DNS service availability | If port 53 is blocked, review upstream ACLs/firewall rules for a DNS-specific block | If DNS traffic is unblocked but still failing, verify the DNS service itself is reachable/operational at 8.8.8.8 | Retest nslookup once DNS reachability is confirmed"
6,"VLAN not permitted on trunk allowed list","VLAN 60 is excluded from the allowed VLAN list on the SW1-SW2 trunk (Gi0/1), so its traffic is dropped at the trunk while other VLANs pass normally","Layer 2","high","show interfaces trunk output explicitly shows VLAN 60 is not in the allowed list","show interfaces trunk (post-fix) to confirm VLAN 60 now appears in the allowed VLANs list on Gi0/1","Enter interface configuration mode for the trunk (Gi0/1) on both SW1 and SW2 | Add VLAN 60 to the allowed list with 'switchport trunk allowed vlan add 60' | Verify spanning-tree is not separately blocking the port for VLAN 60 | Confirm end-to-end connectivity for VLAN 60 hosts across the trunk"
7,"Sub-interface administratively down","Sub-interface Gi0/0.80 is administratively down, so the router-on-a-stick has no active path for VLAN 80 traffic, preventing routing between VLAN 70 and VLAN 80","Layer 3","high","show ip interface brief shows Gi0/0.80 is administratively down","show running-config interface Gi0/0.80 to confirm encapsulation dot1Q and IP addressing are correct before re-enabling","Enter interface configuration mode for Gi0/0.80 | Issue 'no shutdown' to bring the sub-interface up | Verify encapsulation dot1Q 80 and the IP address are correctly configured | Confirm show ip interface brief shows Gi0/0.80 as up/up | Test inter-VLAN routing between VLAN 70 and VLAN 80"
8,"NAT ACL misconfigured or not applied","The NAT overload configuration references an ACL that is not actually applied/matched in the 'ip nat inside source' statement, so no translations are being created and internal hosts cannot reach the internet","Layer 3","high","show ip nat translations is empty and show run | section nat confirms the ACL is not referenced in the nat overload command","show access-lists <acl-number> to verify the ACL exists and correctly matches the internal source subnet(s)","Identify the correct ACL number/name defining the internal source networks eligible for NAT | Configure 'ip nat inside source list <acl> interface <outside-interface> overload' referencing that ACL | Confirm inside/outside interfaces are marked with 'ip nat inside' / 'ip nat outside' respectively | Generate test traffic and verify translations appear in show ip nat translations | Confirm internal hosts can reach the internet post-fix"
9,"Guest isolation failure / wrong VLAN mapping","The guest WLAN SSID is mapped to VLAN 10 instead of the intended VLAN 90, and with no isolation ACL in place, guest clients land on the same VLAN as the internal file server and can reach it directly","Layer 2/3","high","show vlan brief shows the guest SSID mapped to VLAN 10 instead of 90, with no isolation ACL present","show wlan <guest-wlan-id> (or equivalent WLC config) to confirm the current WLAN-to-VLAN interface mapping","Correct the guest WLAN's VLAN mapping to VLAN 90 on the WLC/AP configuration | Ensure VLAN 90 is trunked to the AP with its own subnet, separate from internal VLANs | Apply an isolation ACL on the VLAN 90 SVI denying access to internal subnets while permitting internet access | Confirm via show vlan brief that the guest SSID now maps to VLAN 90 | Test that guest clients can no longer reach the internal file server"
10,"Next-hop interface down","The static route to the remote subnet is present but unusable because its next-hop is unreachable, caused by the R2-facing interface being down","Layer 1/3","medium","show ip route confirms the route is present but the next-hop is unreachable, and show cdp neighbors shows the R2 interface is down","show interfaces <R1-to-R2 link> on both routers to determine whether the interface is administratively down, physically down (cable/SFP), or has a duplex/speed fault","Physically inspect the cable/link between R1 and R2 | Check the R2 interface with show interfaces and issue 'no shutdown' if administratively down | Rule out cable, SFP/transceiver, or duplex mismatch if the interface is down at Layer 1 | Confirm CDP neighbor relationship is restored with show cdp neighbors | Verify the static route's next-hop becomes reachable and traffic reaches the remote subnet"
